#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	3623000
1	3705625
2	3629000
3	3569750
4	3547500
5	3501875
6	3512125
7	3599875
8	3750750
9	3656125
10	3600125
11	3600000
12	3600250
13	3724375
14	3500500
15	3499625
16	3500000
17	3600000
18	3656250
19	3685125
20	3600500
21	3600625
22	3638250
23	3744125
24	3759750
25	3758500
26	3817250
27	3800000
28	3797250
29	3813375
30	3770750
31	3600125
32	3568125
33	3505000
34	3696000
35	3420875
36	3410125
37	3574500
38	3630875
39	3604750
40	3817125
41	3795875
42	3688625
43	3599875
44	3541000
45	3509750
46	3500625
47	3500125
48	3800250
49	3795750
50	3775375
51	3600625
52	3600375
53	3410125
54	3584125
55	3600250
56	3794250
57	3711000
58	3470750
59	3510375
60	3612250
61	3795625
62	3807875
63	3426500
64	3529000
65	3517750
66	3500375
67	3526250
68	3612125
69	3855125
70	3629750
71	3531500
72	3520000
73	3489000
74	3842250
75	3544625
76	3500000
77	3571000
78	3545750
79	3600125
80	3500250
81	3797750
82	3562875
83	3500000
84	3440875
85	3399875
86	3440500
87	3498375
88	3457875
89	3523625
90	3568000
91	3600250
92	3585875
93	3613375
94	3528750
95	3483625
96	3797000
97	3495000
98	3399500
99	3459125
100	3518125
101	3630875
102	3693875
103	3672250
104	3538500
105	3600000
106	3543250
107	3477625
108	3852000
109	3505375
110	3428125
111	3400375
112	3500500
113	3641875
114	3646625
115	3687750
116	3707000
117	3595125
118	3640750
119	3561375
120	3780750
121	3767875
122	3412875
123	3470125
124	3394625
125	3513000
126	3669250
127	3628375
128	3638375
129	3651250
130	3649000
131	3640125
132	3563875
133	3421500
134	3387000
135	3749250
136	3422125
137	3413250
138	3484250
139	3800375
140	3600250
141	3600000
142	3600625
143	3656750
144	3510375
145	3778625
146	3534375
147	3456375
148	3399875
149	3411250
150	3413625
151	3474250
152	3499125
153	3570000
154	3682500
155	3597125
156	3551250
157	3627750
158	3681750
159	3832625
160	3840625
161	3699750
162	3800250
163	3529000
164	3575875
165	3565000
166	3502750
167	3680625
168	3606000
169	3621375
170	3570250
171	3671250
172	3600125
173	3672750
174	3729125
175	3699500
176	3830875
177	3860000
178	3874250
179	3500125
180	3499875
181	3556250
182	3572875
183	3511000
184	3588750
185	3619000
186	3664625
187	3612250
188	3662250
189	3631250
190	3670000
191	3666125
192	3655500
193	3685000
194	3795625
195	3726625
196	3817625
197	3739750
198	3752500
199	3827500
200	3857000
201	3751875
202	3873250
203	3644875
204	3500125
205	3790625
206	3533000
207	3575750
208	3573000
209	3585125
210	3600250
211	3628375
212	3672500
213	3628750
214	3674000
215	3615000
216	3645875
217	3626500
218	3768625
219	3696875
220	3700000
221	3686500
222	3642625
223	3671250
224	3672500
225	3622375
226	3635875
227	3701000
228	3700250
229	3700125
230	3777125
231	3758500
232	3783875
233	3724875
234	3788625
235	3830500
236	3821750
237	3829750
238	3800375
239	3889625
240	3863000
241	3722125
242	3901250
243	3798125
244	3834750
245	3872750
246	3857000
247	3876625
248	3714375
249	3808000
250	3868375
251	3831750
252	3800250
253	3879750
254	3883750
255	3619375
256	3484750
257	3496625
258	3507375
259	3517500
260	3515000
261	3518125
262	3561000
263	3585375
264	3588125
265	3532375
266	3641625
267	3643125
268	3684125
269	3686750
270	3683375
271	3687625
272	3699750
273	3699750
274	3700250
275	3600375
276	3642625
277	3648000
278	3665625
279	3663125
280	3638875
281	3689875
282	3661000
283	3669875
284	3668500
285	3641125
286	3665625
287	3645000
288	3607250
289	3675375
290	3677250
291	3832000
292	3606375
293	3669125
294	3688750
295	3634625
296	3663625
297	3618875
298	3701125
299	3687125
300	3800500
301	3709500
302	3724125
303	3741000
304	3774625
305	3729500
306	3800250
307	3829000
308	3794750
309	3831625
310	3810875
311	3828000
312	3853250
313	3772625
314	3830625
315	3868250
316	3811375
317	3872500
318	3824500
319	3886000
320	3805875
321	3826125
322	3858250
323	3901250
324	3870500
325	3873500
326	3900875
327	3900750
328	3901375
329	3833125
330	3900875
331	3901500
332	3847875
333	3901125
334	3901000
335	3900750
336	3901250
337	3901250
338	3901500
339	3901375
340	3868500
341	3901125
342	3900750
343	3901375
344	3901125
345	3901500
346	3900750
347	3877500
348	3900500
349	3900500
350	3900750
351	3765000
352	3782875
353	3797375
354	3789625
355	3868625
356	3842250
357	3871500
358	3900250
359	3881125
360	3900625
361	3869250
362	3860375
363	3858375
364	3770750
365	3758250
366	3784500
367	3778250
368	3782500
369	3810875
370	3590625
371	3851625
372	3819625
373	3606625
374	3500000
375	3672625
376	3552375
377	3499875
378	3558250
379	3553625
380	3580250
381	3510000
382	3558375
383	3558875
384	3535750
385	3513000
386	3600125
387	3509500
388	3582125
389	3557875
390	3600000
391	3560500
392	3662625
393	3663625
394	3619625
395	3667125
396	3521375
397	3623250
398	3682625
399	3677750
400	3730125
401	3654125
402	3699625
403	3717750
404	3669125
405	3699625
406	3699500
407	3668750
408	3700000
409	3699000
410	3699375
411	3782000
412	3684625
413	3700500
414	3684375
415	3699875
416	3684250
417	3684000
418	3750750
419	3677875
420	3600125
421	3660875
422	3600000
423	3638875
424	3613750
425	3659000
426	3643250
427	3626750
428	3600375
429	3666875
430	3638500
431	3626250
432	3641500
433	3639000
434	3630250
435	3600250
436	3629000
437	3625125
438	3647375
439	3608750
440	3630375
441	3671500
442	3572625
443	3655750
444	3612375
445	3644125
446	3640000
447	3700375
448	3631250
449	3613125
450	3600000
451	3631125
452	3800750
453	3637875
454	3628375
455	3637750
456	3667875
457	3671875
458	3686875
459	3642500
460	3671250
461	3732000
462	3771625
463	3760750
464	3712000
465	3730750
466	3738000
467	3772625
468	3725875
469	3743625
470	3738375
471	3739125
472	3800250
473	3812625
474	3808250
475	3871625
476	3901125
477	3843125
478	3840625
479	3857250
480	3873500
481	3823500
482	3811625
483	3813875
484	3787250
485	3831375
486	3873625
487	3778250
488	3832875
489	3839875
490	3816625
491	3901375
492	3900875
493	3888750
494	3838500
495	3719750
496	3901125
497	3796375
498	3901250
499	3812125
500	3874125
501	3901125
502	3855500
503	3827750
504	3897875
505	3900625
506	3855250
507	3873125
508	3873000
509	3874000
510	3868875
511	3870250
512	3775000
513	3901000
514	3854875
515	3863500
516	3900500
517	3852125
518	3896750
519	3839625
520	3900750
521	3897375
522	3901375
523	3848500
524	3789500
525	3900625
526	3881500
527	3899875
528	3900750
