#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	1932750
1	2032250
2	1900375
3	1810500
4	1772375
5	1800250
6	1825125
7	2089250
8	2100250
9	1900125
10	2039875
11	2000250
12	1900250
13	1814375
14	1800250
15	1815625
16	1800125
17	1900375
18	1962000
19	2000000
20	1931375
21	1900500
22	1943250
23	1888500
24	1800125
25	2100250
26	1800000
27	2137125
28	2183000
29	2003875
30	2171500
31	1912375
32	1900375
33	1843750
34	1800125
35	1719875
36	2200250
37	2100125
38	2151875
39	2187750
40	2200000
41	1945375
42	1900250
43	1900125
44	2000625
45	1800125
46	2024000
47	1845750
48	1984625
49	1961625
50	2200250
51	2107750
52	2115500
53	2000125
54	1900000
55	1896625
56	1796250
57	2100000
58	2153750
59	1982750
60	1900125
61	1867125
62	1770500
63	1730000
64	1735250
65	1896500
66	1789375
67	1889125
68	2200125
69	2200000
70	2008625
71	1853500
72	1700000
73	1694375
74	1875500
75	1731500
76	2010250
77	1884000
78	1900125
79	1858375
80	2284875
81	1885875
82	1800125
83	1614500
84	1700000
85	1700125
86	1671000
87	1829750
88	1966625
89	1800250
90	1800250
91	2171625
92	1911000
93	1700125
94	1600250
95	1600125
96	1700125
97	1686250
98	1761250
99	1978000
100	1896250
101	1942875
102	1977000
103	2085375
104	1987625
105	1773625
106	1600125
107	1726125
108	1700000
109	1862000
110	1719875
111	2000250
112	1951750
113	1943500
114	1966500
115	1871250
116	1968500
117	1824750
118	1700000
119	2200375
120	1614000
121	1678125
122	1700125
123	1700250
124	2000375
125	2000250
126	1954875
127	2000250
128	1959875
129	1900250
130	2129875
131	2015125
132	1600125
133	1624875
134	1700125
135	1700000
136	1977500
137	1800250
138	1800250
139	1900125
140	1900125
141	1882375
142	1966375
143	1808500
144	2125500
145	2100125
146	1888125
147	1536000
148	2200250
149	2032750
150	1753250
151	1769125
152	1700125
153	1877500
154	1838500
155	1900000
156	1936125
157	1900250
158	2028750
159	2100250
160	1912625
161	1717250
162	1611500
163	1726125
164	1690375
165	1700000
166	1747500
167	1728750
168	1729125
169	1800000
170	1801125
171	1988875
172	1875125
173	2000250
174	2000125
175	2000000
176	2200375
177	2221375
178	1920250
179	1725375
180	1672000
181	1565125
182	1671000
183	1679750
184	1752750
185	1952000
186	1894375
187	1784875
188	1847375
189	1794500
190	1800125
191	1800000
192	1779750
193	1800000
194	1842500
195	1808875
196	1916875
197	2076250
198	2086500
199	2186625
200	2200250
201	2211875
202	2231250
203	2212500
204	2012375
205	2200375
206	2287000
207	1971375
208	1791625
209	1612125
210	1565000
211	1621750
212	1607125
213	1700000
214	1700000
215	1799125
216	1759625
217	1958750
218	1808250
219	1800000
