#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	3586375
1	3995875
2	3547500
3	3954000
4	3999250
5	3994875
6	3997500
7	3976875
8	3995250
9	3999250
10	3998875
11	3997875
12	3993750
13	3999250
14	3999250
15	3999250
16	3999250
17	3998875
18	3999250
19	3999250
20	3999250
21	3999250
22	3999250
23	3991250
24	3998875
25	3999250
26	3999250
27	3999250
28	3999250
29	3998875
30	3998875
31	3999250
32	3999250
33	3999250
34	3998250
35	3998875
36	3999250
37	3999250
38	3999250
39	3999250
40	3998875
41	3998875
42	3998875
43	3999250
44	3999250
45	3990750
46	3998875
47	3997750
48	3998875
49	3999250
50	3999250
51	3998875
52	3998875
53	3999250
54	3998625
55	3999250
56	3990375
57	3998750
58	3999250
59	3998750
60	3998625
61	3998250
62	3998875
63	3998625
64	3998625
65	3998625
66	3998375
67	3998750
68	3999250
69	3998875
70	3998875
71	3999250
72	3998875
73	3998375
74	3999250
75	3998500
76	3994750
77	3998750
78	3998375
79	3998625
80	3299875
81	3996750
82	3999250
83	3999000
84	3999250
85	3997000
86	3999250
87	3992625
88	3999250
89	3999250
90	3999250
91	3921250
92	3818250
93	3998625
94	3998875
95	3999000
96	3999000
97	3999000
98	3991000
99	3999000
100	3999250
101	3999000
102	3999250
103	3500500
104	3367000
105	3899875
106	3998625
107	3998875
108	3998500
109	3989125
110	3999250
111	3998250
112	3998625
113	3908375
114	3999000
115	3448875
116	3332750
117	3623125
118	3910875
119	3999000
120	3991125
121	3999000
122	3999250
123	3998875
124	3999250
125	3998625
126	3999250
127	3898500
128	3333125
129	3333375
130	3499750
131	3600000
132	3998875
133	3997375
134	3998875
135	3998750
136	3998500
137	3998625
138	3998500
139	3897250
140	3998375
141	3907750
142	3448250
143	3316250
144	3204375
145	3671000
146	3916625
147	3998875
148	3998000
149	3998000
150	3997875
151	3997750
152	3899875
153	3649500
154	3508000
155	3633250
156	3408000
157	3316375
158	3382250
159	3400000
160	3300000
161	3400000
162	3999250
163	3998375
164	3999125
165	3996625
166	3900000
167	3900000
168	3299875
169	3200000
170	3200000
171	3399875
172	3216500
173	3199875
174	3199875
175	3232875
176	3199875
177	3447875
178	3341500
179	3449625
180	3999250
181	3990125
182	3996625
183	3919125
184	3897000
185	3600000
186	3399875
187	3299875
188	3400000
189	3300000
190	3199875
191	3199875
192	3200000
193	3199875
194	3200000
195	3200000
196	3200000
197	3266250
198	3199875
199	3213625
200	3225125
201	3300125
202	3340750
203	3448125
204	3233125
205	3999000
206	3999250
207	3999000
208	3999250
209	3899875
210	3500000
211	3400000
212	3299875
213	3300000
214	3599875
215	3301250
216	3300000
217	3400000
218	3199875
219	3200000
220	3200000
221	3209000
222	3200000
223	3200000
224	3208250
225	3200000
226	3208250
227	3208375
